Title,ESP-8226 Controlled 3 Channel Led Driver 2A Max,,,,,,,,,,,
Revision,0.5,,,,,,,,,,,
Date,,,,,,,,,,,,
Generated,1/24/2017 15:12,,,,,,,,,,,
Company,,,,,,,,,,,,
Comment 1,,,,,,,,,,,,
Comment 2,,,,,,,,,,,,
Comment 3,,,,,,,,,,,,
Comment 4,,,,,,,,,,,,
Total Parts,70,,,,,,,,,,,
Total Unique Parts,25,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Ref,Qty,Value,Footprint,Manufacturer,Manufacturer_Part_#,Mouser_Part_#,Notes,,,,,
C101 C102 C103 ,3,10uF,Capacitors_SMD:C_0603,Murata Electronics,GRM188R60J106KE47D,81-GRM188R60J106KE7D,6.3V X5R 10%,,,,,
C201 ,1,2.2uF,Capacitors_SMD:C_0805,Murata Electronics,GRM21BR61E225KA12L,81-GRM21R61E225KA12L,25V X5R 10%,,,,,
C202 ,1,22.0uF,Capacitors_SMD:C_0805,Murata Electronics,81-GRM21R60J226ME39L,81-GRM21R60J226ME39L,6.3V X5R 20%,,,,,
C301 C401 C501 ,3,0.1uF,Capacitors_SMD:C_0603,Murata,GCM188R71C104KA37J,81-GCM188R71C104KA7J,16V X7R 10%,,,,,
C309 C409 C509 ,3,470pF,Capacitors_SMD:C_0603,Murata Electronics,GRM033R71H471KA12D,81-GRM033R71H471KA2D,50V X7R 10%,,,,,
C305 C405 C505 ,3,1uF,Capacitors_SMD:C_0603,Murata,GCM188R71C105KA64D,81-GCM188R71C105K64D,16V X7R 10%,,,,,
C306 C307 C302 C303 C304 C406 C407 C402 C403 C404 C506 C507 C502 C503 C504 ,15,2.2uF,Capacitors_SMD:C_0805,Murata Electronics,GRM21BR61E225KA12L,GRM21BR61E225KA12L,25V X5R 10%,,,,,
CON101 ,1,BARREL_JACK,junes:Barrel_Jack_Wurth_694106301002,Wurth Electronics,6.94106E+11,710-694106301002, ,,,,,
D101 ,1,LED,LEDs:LED-0603,Lite-On,LTST-C190KRKT,859-LTST-C190KRKT, ,,,,,
D302 D402 D502 ,3,100V 200mA,Diodes_SMD:SOD-123,ON Semi,MMSD4148T1G,863-MMSD4148T1G,100V 0.2A,,,,,
D301 D401 D501 ,3,100V 3A,Diodes_SMD:SOD-128-2,NXP,PMEG10030ELPX,771-PMEG10030ELPX,100V 3A,,,,,
L201 ,1,10uH,junes:VLS4012ET-100M,TDK,VLS4012ET-100M,810-VLS4012ET-100M,20% 500mA+ 228mOhms,,,,,
L301 L401 L501 ,3,47uH,junes:MBH12575C,Murata - TOKO,MBH12575C-470MA=P3,81-MBH12575C-470MAP3,2.7A 53mOhms 20%,,,,,
P101 ,1,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06, , , , ,,,,,
P1 P2 P3 ,3,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02, , , , ,,,,,
R101 R102 R107 R103 ,4,1K,Resistors_SMD:R_0603, , , , ,,,,,
R104 R105 R106 ,3,10K,Resistors_SMD:R_0603, , , , ,,,,,
R108 ,1,10K,Resistors_SMD:R_0603, , , , ,,,,,
R201 ,1,100K,Resistors_SMD:R_0603, , , ,1% Tolerence,,,,,
R302 R301 R402 R401 R502 R501 ,6,0.27,Resistors_SMD:R_0805,Susumu,KRL1220E-M-R270-F-T5,754-KRL1220EMR270FT5,1%,,,,,
R303 R403 R503 ,3,48.7k,Resistors_SMD:R_0603,Vishay,CRCW060348K7FKEA,71-CRCW0603-48.7K-E3,1%,,,,,
SW102 SW101 ,2,TACT_4.2MM,MF_Switches:MF_Switches-TACT4.2MM,C&K Components,PTS810 SJK 250 SMTR LFS,611-PTS810SJK250SMTR, ,,,,,
U101 ,1,ESP8266-12E,ESP8266:ESP-12E,ESPRESSIF,ESP8266-12E,485-2491, ,,,,,
U201 ,1,TPS62177,junes:TPS62177,Texas Instruments,TPS62177DQCR,595-TPS62177DQCR, ,,,,,
U301 U401 U501 ,3,TPS92515,junes:TPS92515x,Texas Instruments,TPS92515DGQR,595-TPS92515DGQR, ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git),,,,,,,,,,,,
Generated 1/24/2017 3:12:45 PM,,,,,,,,,,,,
